date,county,cases,cases_rate,cases_avg_new,cases_avg_new_rate,cases_cume,cases_cume_rate
2021-07-14T00:00:00.000,Butler,5,2.7,3.6,1.9,17662,9402
2021-07-13T00:00:00.000,Butler,6,3.2,3,1.6,17657,9399.4
2021-07-12T00:00:00.000,Butler,4,2.1,2.6,1.4,17651,9396.2
2021-07-11T00:00:00.000,Butler,2,1.1,2.4,1.3,17647,9394
2021-07-10T00:00:00.000,Butler,3,1.6,2.9,1.5,17645,9393
2021-07-09T00:00:00.000,Butler,3,1.6,2.4,1.3,17642,9391.4
2021-07-08T00:00:00.000,Butler,2,1.1,2.1,1.1,17639,9389.8
2021-07-07T00:00:00.000,Butler,1,0.5,2.3,1.2,17637,9388.7
2021-07-06T00:00:00.000,Butler,3,1.6,2.3,1.2,17636,9388.2
2021-07-05T00:00:00.000,Butler,3,1.6,2.1,1.1,17633,9386.6
2021-07-04T00:00:00.000,Butler,5,2.7,2.3,1.2,17630,9385
2021-07-03T00:00:00.000,Butler,0,0,2,1.1,17625,9382.3
2021-07-02T00:00:00.000,Butler,1,0.5,2.4,1.3,17625,9382.3
2021-07-01T00:00:00.000,Butler,3,1.6,2.7,1.4,17624,9381.8
2021-06-30T00:00:00.000,Butler,1,0.5,2.4,1.3,17621,9380.2
2021-06-29T00:00:00.000,Butler,2,1.1,2.6,1.4,17620,9379.7
2021-06-28T00:00:00.000,Butler,4,2.1,2.7,1.4,17618,9378.6
2021-06-27T00:00:00.000,Butler,3,1.6,2.4,1.3,17614,9376.5
2021-06-26T00:00:00.000,Butler,3,1.6,2,1.1,17611,9374.9
2021-06-25T00:00:00.000,Butler,3,1.6,2,1.1,17608,9373.3
2021-06-24T00:00:00.000,Butler,1,0.5,2.1,1.1,17605,9371.7
2021-06-23T00:00:00.000,Butler,2,1.1,2.9,1.5,17604,9371.2
2021-06-22T00:00:00.000,Butler,3,1.6,2.9,1.5,17602,9370.1
2021-06-21T00:00:00.000,Butler,2,1.1,3,1.6,17599,9368.5
2021-06-20T00:00:00.000,Butler,0,0,3.6,1.9,17597,9367.4
2021-06-19T00:00:00.000,Butler,3,1.6,3.6,1.9,17597,9367.4
2021-06-18T00:00:00.000,Butler,4,2.1,3.7,2,17594,9365.8
2021-06-17T00:00:00.000,Butler,6,3.2,3.9,2.1,17590,9363.7
2021-06-16T00:00:00.000,Butler,2,1.1,3.3,1.7,17584,9360.5
2021-06-15T00:00:00.000,Butler,4,2.1,4.3,2.3,17582,9359.4
2021-06-14T00:00:00.000,Butler,6,3.2,4.6,2.4,17578,9357.3
2021-06-13T00:00:00.000,Butler,0,0,4.9,2.6,17572,9354.1
2021-06-12T00:00:00.000,Butler,4,2.1,5.7,3,17572,9354.1
