date,county,partiallycovered,fullycovered
2021-04-05T00:00:00.000,Butler,1081,233
2021-04-04T00:00:00.000,Butler,13,28
2021-04-03T00:00:00.000,Butler,254,428
2021-04-02T00:00:00.000,Butler,576,1349
2021-04-01T00:00:00.000,Butler,752,1626
2021-03-31T00:00:00.000,Butler,893,1329
2021-03-30T00:00:00.000,Butler,625,1961
2021-03-29T00:00:00.000,Butler,465,1822
2021-03-28T00:00:00.000,Butler,32,123
2021-03-27T00:00:00.000,Butler,228,204
2021-03-26T00:00:00.000,Butler,930,1041
2021-03-25T00:00:00.000,Butler,1153,672
2021-03-24T00:00:00.000,Butler,822,1147
2021-03-23T00:00:00.000,Butler,926,717
2021-03-22T00:00:00.000,Butler,886,738
2021-03-21T00:00:00.000,Butler,62,94
2021-03-20T00:00:00.000,Butler,318,1259
2021-03-19T00:00:00.000,Butler,1297,698
2021-03-18T00:00:00.000,Butler,947,1201
2021-03-17T00:00:00.000,Butler,1297,519
2021-03-16T00:00:00.000,Butler,1600,851
2021-03-15T00:00:00.000,Butler,186,505
2021-03-14T00:00:00.000,Butler,32,467
2021-03-13T00:00:00.000,Butler,460,728
2021-03-12T00:00:00.000,Butler,1631,508
2021-03-11T00:00:00.000,Butler,1524,640
2021-03-10T00:00:00.000,Butler,1430,652
2021-03-09T00:00:00.000,Butler,2090,677
2021-03-08T00:00:00.000,Butler,1791,341
2021-03-07T00:00:00.000,Butler,84,51
2021-03-06T00:00:00.000,Butler,272,364
2021-03-05T00:00:00.000,Butler,1192,1445
2021-03-04T00:00:00.000,Butler,939,1586
2021-03-03T00:00:00.000,Butler,1070,1294
2021-03-02T00:00:00.000,Butler,951,1331
2021-03-01T00:00:00.000,Butler,598,1364
2021-02-28T00:00:00.000,Butler,96,95
2021-02-27T00:00:00.000,Butler,1611,374
2021-02-26T00:00:00.000,Butler,568,1455
2021-02-25T00:00:00.000,Butler,874,1053
2021-02-24T00:00:00.000,Butler,454,1196
2021-02-23T00:00:00.000,Butler,545,796
2021-02-22T00:00:00.000,Butler,104,278
2021-02-21T00:00:00.000,Butler,53,431
2021-02-20T00:00:00.000,Butler,262,517
2021-02-19T00:00:00.000,Butler,322,761
2021-02-18T00:00:00.000,Butler,533,377
2021-02-17T00:00:00.000,Butler,657,329
2021-02-16T00:00:00.000,Butler,574,387
2021-02-15T00:00:00.000,Butler,225,534
2021-02-14T00:00:00.000,Butler,34,197
2021-02-13T00:00:00.000,Butler,229,190
2021-02-12T00:00:00.000,Butler,1486,545
2021-02-11T00:00:00.000,Butler,1303,548
2021-02-10T00:00:00.000,Butler,1156,402
2021-02-09T00:00:00.000,Butler,1421,277
2021-02-08T00:00:00.000,Butler,1267,424
2021-02-07T00:00:00.000,Butler,60,24
2021-02-06T00:00:00.000,Butler,373,207
2021-02-05T00:00:00.000,Butler,1303,236
2021-02-04T00:00:00.000,Butler,1291,336
2021-02-03T00:00:00.000,Butler,912,273
2021-02-02T00:00:00.000,Butler,885,335
2021-02-01T00:00:00.000,Butler,697,252
2021-01-31T00:00:00.000,Butler,435,6
2021-01-30T00:00:00.000,Butler,592,115
2021-01-29T00:00:00.000,Butler,961,343
2021-01-28T00:00:00.000,Butler,693,580
2021-01-27T00:00:00.000,Butler,639,533
2021-01-26T00:00:00.000,Butler,567,367
2021-01-25T00:00:00.000,Butler,719,222
2021-01-24T00:00:00.000,Butler,231,86
2021-01-23T00:00:00.000,Butler,312,125
2021-01-22T00:00:00.000,Butler,740,73
2021-01-21T00:00:00.000,Butler,605,56
2021-01-20T00:00:00.000,Butler,421,318
2021-01-19T00:00:00.000,Butler,236,198
2021-01-18T00:00:00.000,Butler,419,148
2021-01-17T00:00:00.000,Butler,117,13
2021-01-16T00:00:00.000,Butler,212,14
2021-01-15T00:00:00.000,Butler,235,75
2021-01-14T00:00:00.000,Butler,330,49
2021-01-13T00:00:00.000,Butler,200,120
2021-01-12T00:00:00.000,Butler,421,199
2021-01-11T00:00:00.000,Butler,246,285
2021-01-10T00:00:00.000,Butler,77,79
2021-01-09T00:00:00.000,Butler,90,60
2021-01-08T00:00:00.000,Butler,439,469
2021-01-07T00:00:00.000,Butler,590,60
2021-01-06T00:00:00.000,Butler,638,49
2021-01-05T00:00:00.000,Butler,437,4
2021-01-04T00:00:00.000,Butler,211,1
2021-01-03T00:00:00.000,Butler,123,
2021-01-02T00:00:00.000,Butler,240,
2021-01-01T00:00:00.000,Butler,5,
2020-12-31T00:00:00.000,Butler,178,
2020-12-30T00:00:00.000,Butler,328,
2020-12-29T00:00:00.000,Butler,266,
2020-12-28T00:00:00.000,Butler,241,
2020-12-27T00:00:00.000,Butler,22,
2020-12-26T00:00:00.000,Butler,22,
2020-12-24T00:00:00.000,Butler,32,
2020-12-23T00:00:00.000,Butler,238,
2020-12-22T00:00:00.000,Butler,368,
2020-12-21T00:00:00.000,Butler,326,
2020-12-20T00:00:00.000,Butler,29,
2020-12-19T00:00:00.000,Butler,118,
2020-12-18T00:00:00.000,Butler,387,
2020-12-17T00:00:00.000,Butler,9,
2020-12-16T00:00:00.000,Butler,1,
2020-12-15T00:00:00.000,Butler,1,
